iter	Passed	Remaining
848	1359	241
849	1360	240
850	1362	238
851	1363	236
852	1364	235
853	1365	233
854	1367	231
855	1368	230
856	1369	228
857	1370	226
858	1371	225
859	1373	223
860	1374	221
861	1375	220
862	1377	218
863	1379	217
864	1380	215
865	1382	213
866	1383	212
867	1385	210
868	1387	209
869	1388	207
870	1390	205
871	1392	204
872	1393	202
873	1395	201
874	1397	199
875	1398	198
876	1400	196
877	1402	194
878	1403	193
879	1404	191
880	1406	189
881	1408	188
882	1409	186
883	1410	185
884	1412	183
885	1413	181
886	1414	180
887	1415	178
888	1417	176
889	1418	175
890	1419	173
891	1421	172
892	1422	170
893	1424	168
894	1425	167
895	1426	165
896	1428	163
897	1429	162
898	1431	160
899	1432	159
900	1434	157
901	1436	156
902	1438	154
903	1439	152
904	1441	151
905	1442	149
906	1444	148
907	1446	146
908	1447	144
909	1449	143
910	1451	141
911	1453	140
912	1455	138
913	1456	137
914	1458	135
915	1460	133
916	1462	132
917	1463	130
918	1466	129
919	1468	127
920	1469	126
921	1472	124
922	1474	122
923	1475	121
924	1477	119
925	1479	118
926	1481	116
927	1482	115
928	1484	113
929	1485	111
930	1487	110
931	1489	108
932	1490	107
933	1492	105
934	1493	103
935	1495	102
936	1497	100
937	1499	99
938	1500	97
939	1502	95
940	1504	94
941	1505	92
942	1506	91
943	1508	89
944	1510	87
945	1511	86
946	1512	84
947	1514	83
948	1516	81
949	1518	79
950	1520	78
951	1521	76
952	1523	75
953	1524	73
954	1526	71
955	1527	70
956	1529	68
957	1531	67
958	1532	65
959	1534	63
960	1535	62
961	1536	60
962	1537	59
963	1538	57
964	1540	55
965	1541	54
966	1543	52
967	1544	51
968	1545	49
969	1546	47
970	1547	46
971	1549	44
972	1550	43
973	1552	41
974	1553	39
975	1555	38
976	1556	36
977	1558	35
978	1560	33
979	1562	31
980	1564	30
981	1566	28
982	1567	27
983	1569	25
984	1571	23
985	1572	22
986	1574	20
987	1575	19
988	1576	17
989	1578	15
990	1579	14
991	1581	12
992	1582	11
993	1583	9
994	1585	7
995	1586	6
996	1588	4
997	1589	3
998	1591	1
999	1592	0
